County,Month,CasesCount,TestsPer100K,ActiveCase,DeathCount,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated,DailyVaccinations,TotalVaccinationsPerHundred,PeopleFullyVaccinatedPerHundred,vaccines
Lamar,July,60474,33291,62,159,,,,,,,
Lamar,August,63882,36349,281,166,,,,,,,
Lamar,September,66999,42293,847,184,,,,,,,
Lamar,October,71334,46595,408,204,,,,,,,
Lamb,January,10864,7600,92,78,,,,,,,
Lamb,February,46302,8687,52,82,,,,,,,
Lamb,March,54396,9668,25,82,,,,,,,
Lamb,April,54221,10505,30,83,,,,,,,
Lamb,May,57406,11220,13,83,,,,,,,
Lamb,June,56066,11702,5,83,,,,,,,
Lamb,July,59562,12338,12,83,,,,,,,
Lamb,August,68629,13447,79,85,,,,,,,
Lamb,September,81846,14998,67,87,,,,,,,
Lamb,October,91295,16053,20,89,,,,,,,
Lampasas,January,7457,14369,187,19,,,,,,,
Lampasas,February,18794,17170,422,29,,,,,,,
Lampasas,March,27218,19189,63,32,,,,,,,
Lampasas,April,27185,20866,34,32,,,,,,,
Lampasas,May,28160,22429,23,33,,,,,,,
Lampasas,June,26467,23482,9,33,,,,,,,
Lampasas,July,27115,24517,53,34,,,,,,,
Lampasas,August,27785,26870,215,41,,,,,,,
Lampasas,September,29035,30860,337,57,,,,,,,
Lampasas,October,30863,33387,113,64,,,,,,,
Lavaca,January,20727,10644,78,63,,,,,,,
Lavaca,February,50961,12631,45,71,,,,,,,
Lavaca,March,58436,13977,29,74,,,,,,,
Lavaca,April,58457,15529,17,76,,,,,,,
Lavaca,May,61775,16913,15,76,,,,,,,
Lavaca,June,60767,17879,7,76,,,,,,,
Lavaca,July,63150,19229,13,76,,,,,,,
Lavaca,August,65616,21084,77,79,,,,,,,
Lavaca,September,67477,24421,81,91,,,,,,,
Lavaca,October,71593,27063,24,96,,,,,,,
Lee,January,6141,7494,176,35,,,,,,,
Lee,February,25268,9238,313,36,,,,,,,
Lee,March,30218,10327,96,37,,,,,,,
Lee,April,29980,11251,34,39,,,,,,,
Lee,May,31756,12213,29,39,,,,,,,
Lee,June,31127,12895,11,39,,,,,,,
Lee,July,32665,13367,26,40,,,,,,,
Lee,August,35643,14200,136,42,,,,,,,
Lee,September,38580,15788,137,47,,,,,,,
Lee,October,43070,17251,90,50,,,,,,,
Leon,January,8050,8321,77,31,,,,,,,
Leon,February,33078,9840,214,38,,,,,,,
Leon,March,38122,10957,42,42,,,,,,,
Leon,April,37778,12049,22,43,,,,,,,
Leon,May,39555,13221,14,43,,,,,,,
Leon,June,38437,14010,5,43,,,,,,,
Leon,July,40253,14659,20,43,,,,,,,
Leon,August,44446,16090,122,47,,,,,,,
Leon,September,50512,18836,213,58,,,,,,,
Leon,October,56329,20774,79,67,,,,,,,
Liberty,January,53277,41389,511,128,,,,,,,
Liberty,February,143712,50700,431,160,,,,,,,
Liberty,March,172580,56600,84,173,,,,,,,
Liberty,April,173345,62171,72,180,,,,,,,
Liberty,May,186888,68707,46,188,,,,,,,
Liberty,June,183455,73273,3,198,,,,,,,
Liberty,July,194644,77525,73,206,,,,,,,
Liberty,August,221031,84689,493,237,,,,,,,
Liberty,September,261712,96488,669,307,,,,,,,
Liberty,October,290891,104569,150,344,,,,,,,
Limestone,January,14397,24245,125,44,,,,,,,
Limestone,February,55714,30305,432,63,,,,,,,
Limestone,March,64671,34725,67,72,,,,,,,
Limestone,April,63204,38236,36,75,,,,,,,
Limestone,May,66700,41503,36,79,,,,,,,
Limestone,June,65038,44120,13,80,,,,,,,
Limestone,July,68332,45405,44,81,,,,,,,
Limestone,August,72728,48844,130,87,,,,,,,
Limestone,September,74849,56071,187,102,,,,,,,
Limestone,October,80264,62521,78,110,,,,,,,
Lipscomb,January,2910,300,25,11,,,,,,,
Lipscomb,February,7454,447,20,12,,,,,,,
Lipscomb,March,8592,517,5,12,,,,,,,
Lipscomb,April,8859,641,8,12,,,,,,,
Lipscomb,May,9585,809,1,12,,,,,,,
Lipscomb,June,9471,847,0,12,,,,,,,
Lipscomb,July,9815,888,1,12,,,,,,,
Lipscomb,August,9974,939,3,12,,,,,,,
Lipscomb,September,9888,1013,5,12,,,,,,,
Lipscomb,October,10567,1156,6,12,,,,,,,
Live Oak,January,9526,4754,128,18,,,,,,,
Live Oak,February,23494,5760,59,20,,,,,,,
Live Oak,March,26783,6500,14,21,,,,,,,
Live Oak,April,26043,7045,5,22,,,,,,,
Live Oak,May,27182,7636,6,22,,,,,,,
Live Oak,June,26400,8110,9,22,,,,,,,
Live Oak,July,27531,8603,13,22,,,,,,,
Live Oak,August,30630,10501,98,25,,,,,,,
Live Oak,September,35334,13046,301,33,,,,,,,
Live Oak,October,39737,14954,169,38,,,,,,,
Llano,January,7034,8393,150,34,,,,,,,
Llano,February,28455,9692,262,46,,,,,,,
Llano,March,34249,11323,72,49,,,,,,,
Llano,April,34598,12492,32,51,,,,,,,
Llano,May,36815,13557,26,51,,,,,,,
Llano,June,35933,14398,8,53,,,,,,,
Llano,July,38490,15180,38,54,,,,,,,
Llano,August,44640,16773,193,58,,,,,,,
Llano,September,50260,19007,171,66,,,,,,,
Llano,October,56432,20909,87,73,,,,,,,
Loving,January,12,25,0,0,,,,,,,
Loving,February,28,28,0,0,,,,,,,
Loving,March,31,32,0,0,,,,,,,
Loving,April,30,40,0,0,,,,,,,
Loving,May,31,51,0,0,,,,,,,
Loving,June,30,55,0,0,,,,,,,
Loving,July,52,58,1,0,,,,,,,
Loving,August,76,68,0,0,,,,,,,
Loving,September,139,79,0,0,,,,,,,
Loving,October,155,84,0,0,,,,,,,
Lubbock,January,555817,231816,2347,683,,,,,,,
Lubbock,February,1335154,257573,817,761,,,,,,,
Lubbock,March,1499483,280137,188,778,,,,,,,
Lubbock,April,1461714,299242,119,784,,,,,,,
Lubbock,May,1523347,316546,146,791,,,,,,,
Lubbock,June,1482831,328158,149,797,,,,,,,
Lubbock,July,1547172,338486,438,801,,,,,,,
Lubbock,August,1655577,363341,2735,829,,,,,,,
Lubbock,September,1827887,410092,4834,919,,,,,,,
Lubbock,October,2009585,445053,2207,994,,,,,,,
Lynn,January,7052,3550,18,17,,,,,,,
Lynn,February,16904,4118,6,22,,,,,,,
Lynn,March,18894,4646,3,23,,,,,,,
Lynn,April,18500,5215,1,23,,,,,,,
Lynn,May,19219,5662,1,23,,,,,,,
Lynn,June,18760,5935,2,24,,,,,,,
Lynn,July,19515,6160,2,24,,,,,,,
Lynn,August,20311,6553,17,25,,,,,,,
Lynn,September,22628,7256,38,26,,,,,,,
Lynn,October,25602,7819,14,27,,,,,,,
Madison,January,4359,10863,47,21,,,,,,,
Madison,February,10481,12263,172,25,,,,,,,
Madison,March,12319,13586,46,28,,,,,,,
Madison,April,12248,14780,16,29,,,,,,,
Madison,May,12791,16070,17,29,,,,,,,
Madison,June,12467,17006,5,31,,,,,,,
Madison,July,13065,17730,14,32,,,,,,,
Madison,August,13688,19067,89,34,,,,,,,
Madison,September,15144,20932,107,41,,,,,,,
Madison,October,16897,22687,54,43,,,,,,,
Marion,January,273127,2894,92,23,,,,,,,
Marion,February,675656,3824,114,28,,,,,,,
Marion,March,793819,4491,101,33,,,,,,,
Marion,April,794773,4946,21,33,,,,,,,
Marion,May,844925,5252,4,33,,,,,,,
Marion,June,829688,5436,5,33,,,,,,,
Marion,July,869951,5732,14,33,,,,,,,
Marion,August,963594,6223,65,35,,,,,,,
Marion,September,1141814,7059,147,44,,,,,,,
Marion,October,1290533,7756,47,49,,,,,,,
Martin,January,692,1439,9,18,,,,,,,
Martin,February,1690,1638,24,18,,,,,,,
Martin,March,1966,1799,3,18,,,,,,,
Martin,April,1920,1951,8,18,,,,,,,
Martin,May,1993,2098,3,19,,,,,,,
Martin,June,1961,2197,7,19,,,,,,,
Martin,July,2057,2329,7,19,,,,,,,
Martin,August,2269,2516,33,20,,,,,,,
Martin,September,2508,2834,48,21,,,,,,,
Martin,October,2827,3082,17,24,,,,,,,
Mason,January,12210,1844,43,4,,,,,,,
Mason,February,45655,2080,25,5,,,,,,,
Mason,March,51838,2264,9,6,,,,,,,
Mason,April,50904,2398,1,6,,,,,,,
Mason,May,53257,2583,10,6,,,,,,,
Mason,June,51739,2743,7,6,,,,,,,
Mason,July,53919,2852,3,6,,,,,,,
Mason,August,57291,3016,9,6,,,,,,,
Mason,September,60420,3389,28,7,,,,,,,
Mason,October,65080,3800,39,7,,,,,,,
Matagorda,January,3566,22705,188,76,,,,,,,
Matagorda,February,9116,28609,124,90,,,,,,,
Matagorda,March,10511,32126,70,96,,,,,,,
Matagorda,April,10365,35571,126,104,,,,,,,
Matagorda,May,10901,39165,77,112,,,,,,,
Matagorda,June,11087,40689,5,114,,,,,,,
Matagorda,July,13241,42473,22,115,,,,,,,
Matagorda,August,14687,45253,191,120,,,,,,,
Matagorda,September,17809,50053,269,144,,,,,,,
Matagorda,October,20678,53167,62,155,,,,,,,
Maverick,January,3908,44371,1471,253,,,,,,,
Maverick,February,9878,54347,1329,321,,,,,,,
Maverick,March,11189,60439,898,349,,,,,,,
Maverick,April,10713,66214,312,358,,,,,,,
Maverick,May,10953,71225,8,360,,,,,,,
Maverick,June,10711,75396,18,363,,,,,,,
Maverick,July,11258,78741,49,369,,,,,,,
Maverick,August,12187,85103,222,374,,,,,,,
Maverick,September,12939,93850,176,393,,,,,,,
Maverick,October,13910,100072,94,405,,,,,,,
McCulloch,January,2572,2696,30,13,,,,,,,
McCulloch,February,6292,3079,29,16,,,,,,,
McCulloch,March,7550,3436,19,19,,,,,,,
McCulloch,April,7245,3706,5,19,,,,,,,
McCulloch,May,7492,3956,6,19,,,,,,,
McCulloch,June,7412,4168,5,21,,,,,,,
McCulloch,July,7622,4433,8,21,,,,,,,
McCulloch,August,7734,4967,35,21,,,,,,,
McCulloch,September,7829,5901,104,27,,,,,,,
McCulloch,October,8590,6541,36,36,,,,,,,
McLennan,January,28986,222327,919,366,,,,,,,
McLennan,February,74697,248423,476,438,,,,,,,
McLennan,March,89022,268534,202,464,,,,,,,
McLennan,April,95379,292938,191,472,,,,,,,
McLennan,May,106672,325458,139,477,,,,,,,
McLennan,June,105647,339901,74,481,,,,,,,
McLennan,July,111166,352601,167,491,,,,,,,
McLennan,August,121640,379239,1029,529,,,,,,,
McLennan,September,140786,442891,1576,638,,,,,,,
McLennan,October,154996,498391,409,717,,,,,,,
McMullen,January,105868,342,5,3,,,,,,,
McMullen,February,277705,406,4,4,,,,,,,
McMullen,March,318422,445,1,5,,,,,,,
McMullen,April,311733,477,1,5,,,,,,,
McMullen,May,323728,493,0,5,,,,,,,
McMullen,June,324467,508,1,5,,,,,,,
McMullen,July,334828,533,0,5,,,,,,,
McMullen,August,351345,580,3,5,,,,,,,
McMullen,September,361726,662,6,7,,,,,,,
McMullen,October,383862,724,2,8,,,,,,,
Medina,January,31797,22308,205,70,,,,,,,
Medina,February,92460,28154,113,94,,,,,,,
Medina,March,114577,31743,31,104,,,,,,,
Medina,April,112654,36206,25,106,,,,,,,
Medina,May,118640,39245,29,107,,,,,,,
Medina,June,108352,41365,19,109,,,,,,,
Medina,July,108680,43498,56,109,,,,,,,
Medina,August,121621,47252,231,123,,,,,,,
Medina,September,134353,52916,263,145,,,,,,,
Medina,October,147524,58152,111,163,,,,,,,
Menard,January,1597,1951,20,5,,,,,,,
Menard,February,3903,2221,9,8,,,,,,,
Menard,March,4409,2298,1,9,,,,,,,
Menard,April,4260,2389,0,9,,,,,,,
Menard,May,4402,2473,2,9,,,,,,,
Menard,June,4268,2515,1,9,,,,,,,
Menard,July,4438,2784,3,9,,,,,,,
Menard,August,4903,3220,24,9,,,,,,,
Menard,September,5107,3661,32,10,,,,,,,
Menard,October,5478,3940,13,11,,,,,,,
Midland,January,173852,62832,2200,217,,,,,,,
Midland,February,447620,74047,1287,244,,,,,,,
Midland,March,517863,82951,400,261,,,,,,,
Midland,April,514136,91592,238,266,,,,,,,
Midland,May,543611,98805,215,270,,,,,,,
Midland,June,532615,103824,106,273,,,,,,,
Midland,July,555950,109403,120,275,,,,,,,
Midland,August,594779,119557,901,295,,,,,,,
Midland,September,689299,137362,2290,335,,,,,,,
Midland,October,780876,150801,1061,363,,,,,,,
Milam,January,13613,15679,69,26,,,,,,,
Milam,February,35655,19121,117,39,,,,,,,
Milam,March,42182,21477,23,45,,,,,,,
Milam,April,42131,23522,14,47,,,,,,,
Milam,May,44921,25415,9,49,,,,,,,
Milam,June,44105,26379,7,49,,,,,,,
Milam,July,46935,27419,21,52,,,,,,,
Milam,August,53078,29497,158,58,,,,,,,
Milam,September,58872,33205,203,71,,,,,,,
Milam,October,64166,35883,26,82,,,,,,,
Mills,January,4319,4132,91,18,,,,,,,
Mills,February,15371,4812,102,20,,,,,,,
Mills,March,18126,5312,21,21,,,,,,,
Mills,April,17716,6021,4,21,,,,,,,
Mills,May,18425,6467,2,21,,,,,,,
Mills,June,17871,6658,1,21,,,,,,,
Mills,July,18526,6837,2,21,,,,,,,
Mills,August,19723,7368,31,23,,,,,,,
Mills,September,20969,8453,44,26,,,,,,,
Mills,October,22928,9318,33,27,,,,,,,
Mitchell,January,6654,5467,25,24,,,,,,,
Mitchell,February,16068,6188,6,29,,,,,,,
Mitchell,March,18350,6850,7,30,,,,,,,
Mitchell,April,17991,7576,2,30,,,,,,,
Mitchell,May,18753,8163,2,31,,,,,,,
Mitchell,June,18267,8686,1,31,,,,,,,
Mitchell,July,19013,9154,3,31,,,,,,,
Mitchell,August,20890,9867,34,32,,,,,,,
Mitchell,September,24811,11330,56,35,,,,,,,
Mitchell,October,27901,12775,17,39,,,,,,,
Montague,January,18547,10337,44,51,,,,,,,
Montague,February,46367,11995,24,64,,,,,,,
Montague,March,53398,13191,12,69,,,,,,,
Montague,April,52465,14225,4,71,,,,,,,
Montague,May,54633,15327,3,71,,,,,,,
Montague,June,53437,16156,4,73,,,,,,,
Montague,July,56016,16727,13,73,,,,,,,
Montague,August,60635,18080,47,75,,,,,,,
Montague,September,69323,20664,68,83,,,,,,,
Montague,October,79636,22682,34,91,,,,,,,
Montgomery,January,372815,280940,6904,363,,,,,,,
Montgomery,February,989024,340112,4650,463,,,,,,,
Montgomery,March,1193440,384040,2299,515,,,,,,,
Montgomery,April,1232346,431981,1750,554,,,,,,,
Montgomery,May,1334333,490381,1331,584,,,,,,,
Montgomery,June,1321690,524802,864,601,,,,,,,
Montgomery,July,1398327,554453,1149,615,,,,,,,
Montgomery,August,1600606,610836,7282,694,,,,,,,
Montgomery,September,1872008,696621,12094,912,,,,,,,
Montgomery,October,2084920,754609,4797,1051,,,,,,,
Moore,January,22436,7705,37,65,,,,,,,
Moore,February,53268,8823,37,69,,,,,,,
Moore,March,60954,9553,29,72,,,,,,,
Moore,April,62082,10157,18,72,,,,,,,
Moore,May,68872,10687,3,73,,,,,,,
Moore,June,67720,11084,3,73,,,,,,,
Moore,July,70511,11509,25,74,,,,,,,
Moore,August,72646,12040,81,77,,,,,,,
Moore,September,72768,12995,109,81,,,,,,,
Moore,October,77398,14410,66,85,,,,,,,
Morris,January,5846,6871,102,20,,,,,,,
Morris,February,15248,8419,130,29,,,,,,,
Morris,March,17612,9638,94,33,,,,,,,
Morris,April,17221,10526,19,33,,,,,,,
Morris,May,18120,11033,8,34,,,,,,,
Morris,June,18153,11589,6,34,,,,,,,
Morris,July,20393,12155,32,36,,,,,,,
Morris,August,23441,13113,98,40,,,,,,,
Morris,September,27639,15081,158,48,,,,,,,
Morris,October,31233,16456,53,53,,,,,,,
Motley,January,405,503,3,7,,,,,,,
Motley,February,970,548,1,8,,,,,,,
Motley,March,1136,588,1,8,,,,,,,
Motley,April,1433,630,3,8,,,,,,,
Motley,May,1688,672,0,8,,,,,,,
Motley,June,1688,691,0,8,,,,,,,
Motley,July,1784,713,1,8,,,,,,,
Motley,August,1862,755,1,8,,,,,,,
Motley,September,1848,809,2,8,,,,,,,
Motley,October,2061,911,4,9,,,,,,,
Nacogdoches,January,33986,34882,320,123,,,,,,,
Nacogdoches,February,85472,40488,283,152,,,,,,,
Nacogdoches,March,100475,45515,257,165,,,,,,,
Nacogdoches,April,100237,50521,68,169,,,,,,,
Nacogdoches,May,105804,55967,53,172,,,,,,,
Nacogdoches,June,106608,58517,23,174,,,,,,,
Nacogdoches,July,123821,60647,35,175,,,,,,,
Nacogdoches,August,133925,64674,311,181,,,,,,,
Nacogdoches,September,151617,72679,645,208,,,,,,,
Nacogdoches,October,171042,79178,280,226,,,,,,,
Navarro,January,38329,26945,734,100,,,,,,,
Navarro,February,93336,30514,296,130,,,,,,,
Navarro,March,105276,33327,87,139,,,,,,,
Navarro,April,102850,36056,58,141,,,,,,,
Navarro,May,107477,39083,69,143,,,,,,,
Navarro,June,104498,41243,47,146,,,,,,,
Navarro,July,108864,43253,67,147,,,,,,,
Navarro,August,115533,48294,496,153,,,,,,,
Navarro,September,122447,55813,702,172,,,,,,,
Navarro,October,132099,62130,298,185,,,,,,,
Newton,January,2944,4198,33,25,,,,,,,
Newton,February,7635,5133,13,35,,,,,,,
Newton,March,8823,5907,3,36,,,,,,,
Newton,April,8886,6521,8,36,,,,,,,
Newton,May,9347,7065,3,38,,,,,,,
Newton,June,9274,7399,1,39,,,,,,,
Newton,July,9699,7873,7,39,,,,,,,
Newton,August,10259,8841,35,43,,,,,,,
Newton,September,11447,10513,59,48,,,,,,,
Newton,October,12654,11559,9,51,,,,,,,
Nolan,January,17291,7810,258,41,,,,,,,
Nolan,February,41472,9192,112,50,,,,,,,
Nolan,March,46841,11026,10,51,,,,,,,
Nolan,April,45802,11982,1,51,,,,,,,
Nolan,May,47724,12486,4,51,,,,,,,
Nolan,June,46408,12733,1,52,,,,,,,
Nolan,July,48450,13135,9,53,,,,,,,
Nolan,August,52462,13928,67,55,,,,,,,
Nolan,September,65490,15184,175,65,,,,,,,
Nolan,October,75404,16279,38,77,,,,,,,
Nueces,January,286649,221213,2969,572,,,,,,,
Nueces,February,707288,257094,2065,641,,,,,,,
Nueces,March,807350,284059,983,679,,,,,,,
Nueces,April,802360,309675,1101,699,,,,,,,
Nueces,May,848487,332657,853,712,,,,,,,
Nueces,June,832895,351690,557,725,,,,,,,
Nueces,July,877111,370158,805,736,,,,,,,
Nueces,August,1032991,410042,5076,816,,,,,,,
Nueces,September,1199007,461532,4182,994,,,,,,,
Nueces,October,1292805,496291,1126,1072,,,,,,,
Ochiltree,January,10643,640,47,20,,,,,,,
Ochiltree,February,25596,870,24,24,,,,,,,
Ochiltree,March,29018,1036,12,26,,,,,,,
Ochiltree,April,29508,1178,20,26,,,,,,,
Ochiltree,May,31805,1366,11,27,,,,,,,
Ochiltree,June,31225,1441,1,28,,,,,,,
Ochiltree,July,32768,1527,5,28,,,,,,,
Ochiltree,August,34126,1715,24,29,,,,,,,
Ochiltree,September,35146,1952,40,32,,,,,,,
Ochiltree,October,39766,2297,63,35,,,,,,,
Oldham,January,1121,731,23,4,,,,,,,
Oldham,February,2935,1054,33,4,,,,,,,
Oldham,March,3629,1342,5,4,,,,,,,
Oldham,April,3981,1489,3,4,,,,,,,
Oldham,May,4476,1571,1,4,,,,,,,
Oldham,June,4675,1649,0,4,,,,,,,
Oldham,July,4889,1756,0,4,,,,,,,
Oldham,August,4983,1856,2,4,,,,,,,
Oldham,September,4991,2033,7,5,,,,,,,
Oldham,October,5500,2340,6,6,,,,,,,
Orange,January,41758,29150,1216,92,,,,,,,
Orange,February,103786,35465,1117,113,,,,,,,
Orange,March,121737,41060,463,135,,,,,,,
Orange,April,121800,46354,465,146,,,,,,,
Orange,May,129373,50501,269,150,,,,,,,
Orange,June,128212,53430,87,153,,,,,,,
Orange,July,134924,56083,152,156,,,,,,,
Orange,August,141288,61593,739,179,,,,,,,
Orange,September,152197,71549,1091,249,,,,,,,
Orange,October,166939,77327,250,284,,,,,,,
Palo Pinto,January,26094,13475,95,55,,,,,,,
Palo Pinto,February,65547,16079,39,67,,,,,,,
Palo Pinto,March,75440,17997,13,71,,,,,,,
Palo Pinto,April,74366,19544,8,74,,,,,,,
Palo Pinto,May,77459,20664,4,75,,,,,,,
Palo Pinto,June,75404,21414,7,76,,,,,,,
Palo Pinto,July,79549,22555,18,78,,,,,,,
Palo Pinto,August,88187,24912,101,84,,,,,,,
Palo Pinto,September,108931,29822,128,102,,,,,,,
Palo Pinto,October,124682,33312,52,116,,,,,,,
Panola,January,10087,8609,140,51,,,,,,,
Panola,February,25600,10693,141,66,,,,,,,
Panola,March,29676,12372,98,74,,,,,,,
Panola,April,29210,13309,23,74,,,,,,,
Panola,May,30793,13873,18,75,,,,,,,
Panola,June,31374,14324,12,76,,,,,,,
Panola,July,37149,15102,34,77,,,,,,,
Panola,August,41962,16747,186,85,,,,,,,
Panola,September,46384,19677,224,101,,,,,,,
Panola,October,50624,21703,90,107,,,,,,,
Parker,January,123347,63221,562,129,,,,,,,
Parker,February,320027,76190,298,161,,,,,,,
Parker,March,374404,85349,98,171,,,,,,,
Parker,April,368564,92522,50,177,,,,,,,
Parker,May,387430,98893,67,184,,,,,,,
Parker,June,380104,104044,56,189,,,,,,,
Parker,July,403949,109948,163,195,,,,,,,
Parker,August,445294,120652,436,217,,,,,,,
Parker,September,501860,138040,549,261,,,,,,,
Parker,October,571868,152938,306,308,,,,,,,
Parmer,January,9680,2286,32,33,,,,,,,
Parmer,February,22989,2815,17,34,,,,,,,
Parmer,March,26360,3188,12,35,,,,,,,
Parmer,April,26783,3526,15,36,,,,,,,
Parmer,May,28103,3796,4,37,,,,,,,
Parmer,June,27604,4001,2,37,,,,,,,
Parmer,July,29038,4231,4,37,,,,,,,
Parmer,August,29708,4594,21,37,,,,,,,
Parmer,September,30247,5275,27,37,,,,,,,
Parmer,October,31953,5869,10,37,,,,,,,
Pecos,January,13359,8289,5,29,,,,,,,
Pecos,February,32580,9567,54,34,,,,,,,
Pecos,March,39314,10554,58,35,,,,,,,
Pecos,April,39986,11765,43,35,,,,,,,
Pecos,May,42993,12542,30,35,,,,,,,
Pecos,June,41636,13104,8,35,,,,,,,
Pecos,July,43130,13571,2,35,,,,,,,
Pecos,August,44471,14352,58,36,,,,,,,
Pecos,September,48636,16142,149,45,,,,,,,
Pecos,October,55001,17513,109,49,,,,,,,
Polk,January,15178,24646,289,82,,,,,,,
Polk,February,37286,31594,212,97,,,,,,,
Polk,March,43293,37822,91,107,,,,,,,
Polk,April,43123,43105,84,112,,,,,,,
Polk,May,46925,48078,91,117,,,,,,,
Polk,June,46711,51062,37,120,,,,,,,
Polk,July,49998,54308,90,122,,,,,,,
Polk,August,59867,59249,475,136,,,,,,,
Polk,September,68749,66745,608,175,,,,,,,
Polk,October,78141,71562,217,202,,,,,,,
Potter,January,194973,66558,1172,333,,,,,,,
Potter,February,467162,77789,653,368,,,,,,,
Potter,March,528119,85862,179,377,,,,,,,
Potter,April,517497,93236,111,382,,,,,,,
Potter,May,540842,100952,207,386,,,,,,,
Potter,June,528017,105838,97,390,,,,,,,
Potter,July,553263,110748,179,393,,,,,,,
Potter,August,594996,120421,1225,410,,,,,,,
Potter,September,646938,131521,2019,450,,,,,,,
Potter,October,713303,141583,1177,474,,,,,,,
Presidio,January,7101,6904,36,22,,,,,,,
Presidio,February,16991,7879,72,24,,,,,,,
Presidio,March,19608,8529,16,25,,,,,,,
Presidio,April,19224,8747,5,25,,,,,,,
Presidio,May,19892,8878,4,25,,,,,,,
Presidio,June,19243,8935,1,25,,,,,,,
Presidio,July,19934,8993,2,25,,,,,,,
Presidio,August,20146,9229,12,25,,,,,,,
Presidio,September,19945,9743,24,27,,,,,,,
Presidio,October,20663,9972,4,28,,,,,,,
Rains,January,3916,2722,228,21,,,,,,,
Rains,February,10335,3263,199,23,,,,,,,
Rains,March,12098,3638,48,25,,,,,,,
Rains,April,11928,3948,11,25,,,,,,,
Rains,May,12660,4274,18,25,,,,,,,
Rains,June,12451,4523,8,27,,,,,,,
Rains,July,13452,4885,28,28,,,,,,,
Rains,August,15500,5671,115,30,,,,,,,
Rains,September,18882,6900,217,37,,,,,,,
Rains,October,22452,7903,202,43,,,,,,,
Randall,January,185914,46798,1695,240,,,,,,,
Randall,February,448108,59981,814,274,,,,,,,
Randall,March,506409,68208,187,277,,,,,,,
Randall,April,496889,75180,149,282,,,,,,,
Randall,May,521099,82353,246,289,,,,,,,
Randall,June,509661,86971,113,294,,,,,,,
Randall,July,536024,91069,211,296,,,,,,,
Randall,August,585648,97929,1436,308,,,,,,,
Randall,September,646650,107406,2270,334,,,,,,,
Randall,October,719382,117055,1352,354,,,,,,,
Reagan,January,2284,1113,9,8,,,,,,,
Reagan,February,5381,1193,6,8,,,,,,,
Reagan,March,6078,1238,5,8,,,,,,,
Reagan,April,5925,1270,2,8,,,,,,,
Reagan,May,6138,1296,3,8,,,,,,,
Reagan,June,5910,1327,2,8,,,,,,,
Reagan,July,6090,1363,2,8,,,,,,,
Reagan,August,6561,1476,30,8,,,,,,,
Reagan,September,6826,1694,43,9,,,,,,,
Reagan,October,7208,1859,43,10,,,,,,,
Real,January,3058,1687,9,12,,,,,,,
Real,February,7496,2155,3,12,,,,,,,
Real,March,8432,2318,2,12,,,,,,,
Real,April,8227,2456,2,12,,,,,,,
Real,May,8596,2551,1,12,,,,,,,
Real,June,8420,2632,1,13,,,,,,,
Real,July,8712,2715,1,13,,,,,,,
Real,August,9535,2956,19,15,,,,,,,
Real,September,10611,3496,25,18,,,,,,,
Real,October,12105,3981,19,18,,,,,,,
Red River,January,4316,5734,40,32,,,,,,,
Red River,February,10719,6706,24,35,,,,,,,
Red River,March,12375,7713,10,37,,,,,,,
Red River,April,12047,8511,5,37,,,,,,,
Red River,May,12761,9023,6,37,,,,,,,
Red River,June,12807,9343,3,38,,,,,,,
Red River,July,15428,10099,12,38,,,,,,,
Red River,August,16625,10998,68,40,,,,,,,
Red River,September,18878,13010,130,46,,,,,,,
Red River,October,21566,14649,72,50,,,,,,,
Reeves,January,10708,4227,94,37,,,,,,,
Reeves,February,27484,5745,89,41,,,,,,,
Reeves,March,31089,7154,7,42,,,,,,,
Reeves,April,30427,8092,11,44,,,,,,,
Reeves,May,32496,12852,90,45,,,,,,,
Reeves,June,32081,26951,106,46,,,,,,,
Reeves,July,34346,51217,155,47,,,,,,,
Reeves,August,37456,72099,265,50,,,,,,,
Reeves,September,39779,91910,240,52,,,,,,,
Reeves,October,45473,99476,159,53,,,,,,,
Refugio,January,6155,4901,68,17,,,,,,,
Refugio,February,15201,5948,32,18,,,,,,,
Refugio,March,17582,7078,17,21,,,,,,,
Refugio,April,17221,7756,6,21,,,,,,,
Refugio,May,18212,8300,15,22,,,,,,,
Refugio,June,17990,8493,6,23,,,,,,,
Refugio,July,18931,8855,12,23,,,,,,,
Refugio,August,22846,9865,119,24,,,,,,,
Refugio,September,26107,11196,115,29,,,,,,,
Refugio,October,28307,12312,22,31,,,,,,,
Roberts,January,592,139,6,1,,,,,,,
Roberts,February,1440,196,1,1,,,,,,,
Roberts,March,1672,219,0,1,,,,,,,
Roberts,April,1680,235,1,1,,,,,,,
Roberts,May,1753,262,0,1,,,,,,,
Roberts,June,1738,288,0,1,,,,,,,
Roberts,July,1830,312,1,1,,,,,,,
Roberts,August,1917,335,2,1,,,,,,,
Roberts,September,2161,370,6,1,,,,,,,
Roberts,October,2449,402,4,1,,,,,,,
Robertson,January,9906,12363,109,28,,,,,,,
Robertson,February,43767,15113,322,37,,,,,,,
Robertson,March,50534,17218,50,41,,,,,,,
Robertson,April,49988,18721,26,43,,,,,,,
Robertson,May,53426,20027,37,44,,,,,,,
Robertson,June,53193,21164,34,47,,,,,,,
Robertson,July,57136,22256,46,47,,,,,,,
Robertson,August,61529,23776,98,50,,,,,,,
