CountyName ,Race/Ethnicity,PeopleVaccinated,PeopleFullyVaccinated,TotalVaccinations
Caldwell,White,7854,7009,14813
Calhoun,Asian,686,640,1212
Calhoun,Black,198,167,364
Calhoun,Hispanic,4659,4045,8457
Calhoun,Other,1218,1133,2288
Calhoun,Unknown,626,499,1107
Calhoun,White,4344,3855,8095
Callahan,Asian,41,37,75
Callahan,Black,19,11,30
Callahan,Hispanic,408,336,747
Callahan,Other,457,416,934
Callahan,Unknown,565,501,1105
Callahan,White,3906,3490,7358
Cameron,Asian,988,903,1825
Cameron,Black,635,561,1033
Cameron,Hispanic,235849,203503,441888
Cameron,Other,19811,17094,38862
Cameron,Unknown,27714,24170,54144
Cameron,White,42574,37183,81065
Camp,Asian,48,42,90
Camp,Black,757,645,1416
Camp,Hispanic,1166,923,2060
Camp,Other,678,611,1398
Camp,Unknown,281,240,521
Camp,White,2746,2416,5316
Carson,Asian,14,12,28
Carson,Black,6,5,9
Carson,Hispanic,170,138,314
Carson,Other,185,168,362
Carson,Unknown,278,248,549
Carson,White,1470,1265,2782
Cass,Asian,62,55,117
Cass,Black,1614,1404,2961
Cass,Hispanic,627,546,1186
Cass,Other,1377,1256,2767
Cass,Unknown,506,356,781
Cass,White,6588,5820,12016
Castro,Asian,7,7,14
Castro,Black,36,27,66
Castro,Hispanic,2020,1631,3661
Castro,Other,176,138,323
Castro,Unknown,216,168,385
Castro,White,915,801,1812
Chambers,Asian,436,394,824
Chambers,Black,1609,1394,3057
Chambers,Hispanic,4164,3545,7737
Chambers,Other,2574,2251,5027
Chambers,Unknown,882,691,1574
Chambers,White,12127,10635,22972
Cherokee,Asian,129,116,234
Cherokee,Black,2531,2268,4732
Cherokee,Hispanic,4205,3503,7463
Cherokee,Other,2363,2092,4651
Cherokee,Unknown,1359,1172,2444
Cherokee,White,10927,9793,20735
Childress,Asian,44,39,82
Childress,Black,312,300,522
Childress,Hispanic,615,566,1088
Childress,Other,480,444,799
Childress,Unknown,125,95,217
Childress,White,2053,1936,3958
Clay,Asian,16,16,34
Clay,Black,21,20,41
Clay,Hispanic,203,182,399
Clay,Other,591,549,1263
Clay,Unknown,381,342,726
Clay,White,3357,3099,6716
Cochran,Asian,3,3,4
Cochran,Black,24,20,40
Cochran,Hispanic,570,505,1006
Cochran,Other,81,74,152
Cochran,Unknown,165,140,304
Cochran,White,297,280,535
Coke,Asian,1,1,2
Coke,Black,2,2,4
Coke,Hispanic,195,172,374
Coke,Other,181,159,364
Coke,Unknown,38,27,61
Coke,White,908,810,1810
Coleman,Asian,15,13,31
Coleman,Black,28,24,48
Coleman,Hispanic,276,239,506
Coleman,Other,262,220,479
Coleman,Unknown,1269,1120,2414
Coleman,White,1334,1237,2547
Collin,Asian,119093,109445,232139
Collin,Black,52118,46012,99307
Collin,Hispanic,93190,80875,173346
Collin,Other,120819,110490,251181
Collin,Unknown,31138,25135,55529
Collin,White,280933,254540,550484
Collingsworth,Asian,3,3,6
Collingsworth,Black,22,14,32
Collingsworth,Hispanic,179,143,291
Collingsworth,Other,78,70,152
Collingsworth,Unknown,73,49,122
Collingsworth,White,615,549,1101
Colorado,Asian,73,66,133
Colorado,Black,959,871,1787
Colorado,Hispanic,2463,2186,4411
Colorado,Other,1236,1104,2510
Colorado,Unknown,1079,938,1883
Colorado,White,5836,5265,10916
Comal,Asian,1278,1144,2443
Comal,Black,1732,1479,3252
Comal,Hispanic,19071,16637,35471
Comal,Other,17898,16011,36194
Comal,Unknown,5531,4537,9855
Comal,White,51916,46796,98990
Comanche,Asian,18,14,32
Comanche,Black,10,6,18
Comanche,Hispanic,1197,1062,2171
Comanche,Other,424,371,851
Comanche,Unknown,1541,1391,3100
Comanche,White,3107,2841,6027
Concho,Asian,7,6,14
Concho,Black,18,6,24
Concho,Hispanic,393,249,622
Concho,Other,112,100,227
Concho,Unknown,193,175,358
Concho,White,708,645,1369
Cooke,Asian,168,137,307
Cooke,Black,328,269,596
Cooke,Hispanic,2557,2014,4460
Cooke,Other,1651,1379,3157
Cooke,Unknown,1951,1688,3533
Cooke,White,10078,8656,18695
Coryell,Asian,576,498,1081
Coryell,Black,4010,3497,7543
Coryell,Hispanic,3203,2782,6022
Coryell,Other,5290,4645,10258
Coryell,Unknown,1945,1488,3466
Coryell,White,16488,14638,31670
Cottle,Black,13,13,22
Cottle,Hispanic,108,91,203
Cottle,Other,98,90,195
Cottle,Unknown,25,24,47
Cottle,White,304,278,575
Crane,Asian,8,8,17
Crane,Black,12,10,21
Crane,Hispanic,1192,846,2189
Crane,Other,177,139,340
Crane,Unknown,89,71,163
Crane,White,591,454,1108
Crockett,Asian,16,14,36
Crockett,Black,6,5,10
Crockett,Hispanic,904,789,1773
Crockett,Other,174,149,363
Crockett,Unknown,45,36,81
Crockett,White,474,417,961
Crosby,Asian,7,6,12
Crosby,Black,43,39,80
Crosby,Hispanic,1150,1040,2222
Crosby,Other,264,228,516
Crosby,Unknown,264,234,538
Crosby,White,892,831,1794
Culberson,Asian,33,28,61
Culberson,Black,2,1,3
Culberson,Hispanic,766,677,1461
Culberson,Other,65,57,131
Culberson,Unknown,153,146,305
Culberson,White,205,177,375
Dallam,Asian,16,15,34
Dallam,Black,41,29,69
Dallam,Hispanic,1610,1161,2805
Dallam,Other,294,213,517
Dallam,Unknown,845,600,1476
Dallam,White,847,673,1564
Dallas,Asian,116591,105480,225646
Dallas,Black,230849,198878,435988
Dallas,Hispanic,561276,475153,1028386
Dallas,Other,229185,199751,461429
Dallas,Unknown,63803,49020,111169
Dallas,White,411735,369614,806336
Dawson,Asian,18,18,37
Dawson,Black,384,346,643
Dawson,Hispanic,1693,1429,3076
Dawson,Other,709,598,1199
Dawson,Unknown,352,320,682
Dawson,White,1462,1279,2607
Deaf Smith,Asian,31,30,62
Deaf Smith,Black,43,36,82
Deaf Smith,Hispanic,4912,4344,8887
Deaf Smith,Other,479,401,903
Deaf Smith,Unknown,851,723,1619
Deaf Smith,White,1678,1527,3249
Delta,Asian,15,11,25
Delta,Black,115,104,220
Delta,Hispanic,121,98,218
Delta,Other,276,252,548
Delta,Unknown,160,141,313
Delta,White,1180,1055,2310
Denton,Asian,52888,48605,102409
Denton,Black,41955,37447,81087
Denton,Hispanic,93954,82636,178231
Denton,Other,90690,83207,189764
Denton,Unknown,19274,15628,33505
Denton,White,248208,229386,497704
DeWitt,Asian,57,47,105
DeWitt,Black,579,533,1110
DeWitt,Hispanic,1751,1595,3193
DeWitt,Other,1484,1299,2926
DeWitt,Unknown,695,580,1300
DeWitt,White,4759,4410,9203
Dickens,Asian,5,5,10
Dickens,Black,9,10,18
Dickens,Hispanic,116,104,208
Dickens,Other,75,63,146
Dickens,Unknown,41,32,71
Dickens,White,493,457,937
Dimmit,Asian,31,30,69
Dimmit,Black,37,32,72
Dimmit,Hispanic,6607,4017,11019
Dimmit,Other,408,352,852
Dimmit,Unknown,543,458,1012
Dimmit,White,1130,1002,2337
Donley,Asian,6,6,12
Donley,Black,27,20,48
Donley,Hispanic,97,71,170
Donley,Other,281,251,557
Donley,Unknown,105,87,205
Donley,White,791,678,1509
Duval,Asian,23,23,50
Duval,Black,118,104,226
Duval,Hispanic,5263,4541,10222
Duval,Other,510,413,1011
Duval,Unknown,363,278,661
Duval,White,1278,1056,2464
Eastland,Asian,55,51,94
Eastland,Black,57,43,103
Eastland,Hispanic,847,681,1492
Eastland,Other,606,526,1095
Eastland,Unknown,576,462,1039
Eastland,White,4766,4152,8858
Ector,Asian,1059,957,2136
