Category,Category_Description,At_Least_One_Dose,Fully_Vaccinated
MultiCat Age Groups,30-39,165473,138303
MultiCat Age Groups,40-49,170232,143850
MultiCat Age Groups,50-59,173789,149738
MultiCat Age Groups,60-64,81495,71058
MultiCat Age Groups,65-75,138216,121621
MultiCat Age Groups,76-85,55294,46998
MultiCat Age Groups,86-95,17183,13182
MultiCat Age Groups,96+,1501,907
5Cat Age Groups,12+,1224955,993844
5Cat Age Groups,16+,1188414,970154
5Cat Age Groups,18+,1161836,949511
5Cat Age Groups,18-49,520700,439651
5Cat Age Groups,50-64,270061,226579
5Cat Age Groups,65+,237001,190310
Gender,Female,583610,494615
Gender,Male,512980,404085
Gender,Other,206,182
Gender,Unknown,2444,2009
Race/Ethnicity,Hispanic,479042,397558
Race/Ethnicity,NH White,319932,267838
Race/Ethnicity,NH Asian,30469,26264
Race/Ethnicity,NH Black,47401,34421
Race/Ethnicity,NH Other,131823,109441
Race/Ethnicity,Unknown,90573,65369
MultiCat Age Groups,15-Dec,36541,23690
MultiCat Age Groups,16-18,41270,32356
MultiCat Age Groups,19-29,165001,136294
MultiCat Age Groups,30-39,168439,143282
MultiCat Age Groups,40-49,172568,148362
MultiCat Age Groups,50-59,175747,153727
MultiCat Age Groups,60-64,82143,72852
MultiCat Age Groups,65-75,139182,124604
MultiCat Age Groups,76-85,55799,49324
MultiCat Age Groups,86-95,17484,15137
MultiCat Age Groups,96+,1543,1245
5Cat Age Groups,12+,1225427,1012789
5Cat Age Groups,16+,1186365,985867
5Cat Age Groups,18+,1158889,964228
5Cat Age Groups,50-64,272167,228694
5Cat Age Groups,65+,238064,191505
Gender,Female,591197,502409
Gender,Male,520596,411672
Gender,Other,208,183
Gender,Unknown,2451,2009
Race/Ethnicity,Hispanic,485748,404241
Race/Ethnicity,NH White,323608,271582
Race/Ethnicity,NH Asian,30770,26641
Race/Ethnicity,NH Black,48216,35166
Race/Ethnicity,NH Other,135154,113052
Race/Ethnicity,Unknown,90956,65591
MultiCat Age Groups,15-Dec,39062,26922
MultiCat Age Groups,16-18,42597,33705
MultiCat Age Groups,19-29,168550,139270
MultiCat Age Groups,30-39,170997,145758
MultiCat Age Groups,40-49,174658,150402
MultiCat Age Groups,50-59,177265,155257
MultiCat Age Groups,60-64,82731,73437
MultiCat Age Groups,65-75,139869,125392
MultiCat Age Groups,76-85,56066,49617
MultiCat Age Groups,86-95,17576,15234
MultiCat Age Groups,96+,1560,1262
5Cat Age Groups,12+,1241765,1028077
